molecule_chembl_id,canonical_smiles,standard_value,curated_smiles,pIC50,inchikey
CHEMBL4161103,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,0.03,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,10.522878745280337,QGZAUUKJIJZEAS-MQLGQBSPSA-N
CHEMBL4863423,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(COC(=O)CCC(=O)OCCOCCOCCOCCO)[C@@H]5CC[C@]43C)[C@@H]2C1,0.04,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(COC(=O)CCC(=O)OCCOCCOCCOCCO)[C@@H]5CC[C@]43C)[C@@H]2C1,10.397940008672037,UIKUUBFXGRJBJN-GLYFMXDRSA-N
CHEMBL4568985,COc1cc(NC(=O)CSCC(=O)Nc2cc(-c3cc(C)c(C)cc3C)nn2-c2ccccc2)cc(OC)c1OC,0.07,COc1cc(NC(=O)CSCC(=O)Nc2cc(-c3cc(C)c(C)cc3C)nn2-c2ccccc2)cc(OC)c1OC,10.154901959985743,RTKJPHWZBQIUQR-UHFFFAOYSA-N
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,0.22,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,9.657577319177793,LGGHDPFKSSRQNS-UHFFFAOYSA-N
CHEMBL4594298,COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,0.6,COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,9.221848749616356,AHJUHHDDCJQACA-UHFFFAOYSA-N
CHEMBL4526913,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)Nc3ccc4ncsc4c3)n(-c3ccccc3)n2)cc1C,0.78,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)Nc3ccc4ncsc4c3)n(-c3ccccc3)n2)cc1C,9.10790539730952,UHBHMCUEAHAUJJ-UHFFFAOYSA-N
CHEMBL4792609,COc1ccc(-c2cc(OC(C)=O)c3c(-c4cccs4)c(NC(=O)c4ccccc4Cl)oc3c2)cc1,0.82,COc1ccc(-c2cc(OC(C)=O)c3c(-c4cccs4)c(NC(=O)c4ccccc4Cl)oc3c2)cc1,9.086186147616283,NVHVRYUFNCFLGC-UHFFFAOYSA-N
CHEMBL4783930,COc1ccc(-c2cc(OC(C)=O)c3c(-c4cccs4)c(NC(=O)c4ccccc4C)oc3c2)cc1,0.83,COc1ccc(-c2cc(OC(C)=O)c3c(-c4cccs4)c(NC(=O)c4ccccc4C)oc3c2)cc1,9.080921907623926,KFIFBXUHWWIHKN-UHFFFAOYSA-N
CHEMBL4085670,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCCN1CCN(CCO)CC1,1.25,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCCN1CCN(CCO)CC1,8.903089986991944,RNYPUSBEZJDGOI-UHFFFAOYSA-N
CHEMBL5429850,C#CCOc1cccc2oc(-c3ccc(OCCOCCNCc4ccc(C5(C(F)(F)F)N=N5)cc4)cc3)cc(=O)c12,1.4,C#CCOc1cccc2oc(-c3ccc(OCCOCCNCc4ccc(C5(C(F)(F)F)N=N5)cc4)cc3)cc(=O)c12,8.853871964321762,VXOGSZPJYPPPEV-UHFFFAOYSA-N
