generated_smiles,pyg_data
Brc1cncc(-c2cc3cc(-c4cc5cc([C@@H]6CCCCO6)ccc5[nH]4)ccc3[nH]2)c1,"Data(x=[31, 3], edge_index=[2, 72])"
Brc1cncc(-c2cc3cc(-c4cc5cc([C@H]6CCCCO6)ccc5[nH]4)ccc3[nH]2)c1,"Data(x=[31, 3], edge_index=[2, 72])"
Brc1cncc(-c2cc3cc(-c4ccc5[nH]c(-c6cncc(Br)c6)cc5c4)ccc3[nH]2)c1,"Data(x=[32, 3], edge_index=[2, 74])"
Brc1cncc(-c2cc3cc(-c4ccc5[nH]c([C@@H]6CCCCO6)cc5c4)ccc3[nH]2)c1,"Data(x=[31, 3], edge_index=[2, 72])"
Brc1cncc(-c2cc3cc(-c4ccc5[nH]c([C@H]6CCCCO6)cc5c4)ccc3[nH]2)c1,"Data(x=[31, 3], edge_index=[2, 72])"
Brc1cncc(-c2cc3cc([C@@H]4CCCCO4)ccc3[nH]2)c1,"Data(x=[22, 3], edge_index=[2, 50])"
Brc1cncc(-c2cc3cc([C@H]4CCCCO4)ccc3[nH]2)c1,"Data(x=[22, 3], edge_index=[2, 50])"
Brc1cncc(-c2ccc(-c3ccc(-c4cncc(Br)c4)cc3)cc2)c1,"Data(x=[26, 3], edge_index=[2, 58])"
Brc1cncc(-c2ccc(-c3cncc(Br)c3)cc2)c1,"Data(x=[20, 3], edge_index=[2, 44])"
Brc1cncc(-c2ccc3[nH]c(-c4cc5cc(-c6cncc(Br)c6)ccc5[nH]4)cc3c2)c1,"Data(x=[32, 3], edge_index=[2, 74])"
Brc1cncc(-c2ccc3[nH]c(-c4cc5cc([C@@H]6CCCCO6)ccc5[nH]4)cc3c2)c1,"Data(x=[31, 3], edge_index=[2, 72])"
Brc1cncc(-c2ccc3[nH]c(-c4cc5cc([C@H]6CCCCO6)ccc5[nH]4)cc3c2)c1,"Data(x=[31, 3], edge_index=[2, 72])"
Brc1cncc(-c2ccc3[nH]c(-c4ccc5[nH]c(-c6cncc(Br)c6)cc5c4)cc3c2)c1,"Data(x=[32, 3], edge_index=[2, 74])"
Brc1cncc(-c2ccc3[nH]c(-c4ccc5[nH]c([C@@H]6CCCCO6)cc5c4)cc3c2)c1,"Data(x=[31, 3], edge_index=[2, 72])"
