Lead_ID,smiles,WCS,max_tanimoto_similarity,novelty_status,MW,LogP,TPSA,RotB,Ro5_Violations,Veber_Pass,CNS_MPO,hERG_Risk,AMES_Mutagenicity,CYP3A4_Stability,SA_Score
Pgp-Lead-01,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1(N2CCN(C)CC2)N=N1,0.7683944428549832,0.5614035087719298,High Novelty,361.45,3.05,53.2,2,0,True,5.96,Low,Negative,Stable,2.0
Pgp-Lead-03,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCC(=O)[C@H]1CCCCO1,0.749706786147754,0.5555555555555556,High Novelty,363.46,4.3,48.3,4,0,True,5.33,Low,Negative,Stable,2.3
Pgp-Lead-04,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCC(=O)[C@@H]1CCCCO1,0.749706786147754,0.5555555555555556,High Novelty,363.46,4.3,48.3,4,0,True,5.33,Low,Negative,Stable,2.3
Pgp-Lead-09,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1(O)CCN([C@H]2CCCCO2)CC1,0.7272933914162801,0.44285714285714284,High Novelty,406.53,4.04,54.7,2,0,True,4.65,Low,Negative,Stable,2.5
Pgp-Lead-10,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1(O)CCN([C@@H]2CCCCO2)CC1,0.7272933914162801,0.44285714285714284,High Novelty,406.53,4.04,54.7,2,0,True,4.65,Low,Negative,Stable,2.5
Pgp-Lead-06,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1([C@H]2CO[C@H]3OCC[C@H]32)N=N1,0.7235424086513542,0.42857142857142855,High Novelty,375.43,3.86,65.18,2,0,True,5.29,Low,Negative,Stable,3.7
Pgp-Lead-02,CC(=O)N1CCC(O)(n2c3ccccc3c(=O)c3cc(C)cc(C)c32)CC1,0.7072184678035753,0.4603174603174603,High Novelty,364.45,3.06,62.54,1,0,True,5.35,Low,Negative,Stable,1.8
Pgp-Lead-05,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2-c1nc(C)nc2c1CCC2,0.7017216262487463,0.4444444444444444,High Novelty,355.44,4.35,47.78,1,0,True,5.33,Low,Negative,Stable,2.0
Pgp-Lead-07,COc1cc(=O)c2c(-c3cc(=O)c4c(OC)cccc4o3)cccc2o1,0.4845081501219515,0.4489795918367347,High Novelty,350.33,3.58,78.88,3,0,True,5.08,Low,Negative,Stable,1.8
Pgp-Lead-08,COc1cccc2oc(-c3cc(=O)c4c(OC)cccc4o3)cc(=O)c12,0.43610278688753834,0.55,High Novelty,350.33,3.58,78.88,3,0,True,5.08,Low,Negative,Stable,1.8
